'bamb_1b', 0, '1_5', 'gg_bamb_1b', 'cs_bamb_1b', 'cs_a', 'cs_b', 7930000, 0, 65543, 'バンブー', 'バンブー', 0, 0, 0, 'ha_bamb_1b', 270481475, 0, 0, 0, 0, 1
'cham_1a', 0, '1_5', 'gg_cham_1a', 'cs_cham_1a', 'cs_a', 'cs_b', 6750325, 0, 35, 'シャメル', 'シャメル', 0, 0, 0, 'ha_cham_1a', 270481475, 0, 0, 0, 0, 1
'cham_1b', 0, '1_5', 'gg_cham_1b', 'cs_cham_1b', 'cs_a', 'cs_b', 6750325, 0, 65571, 'シャメル', 'シャメル', 0, 0, 0, 'ha_cham_1b', 270481475, 0, 0, 0, 0, 1
'chrl_1a', 0, '1_5', 'gg_chrl_1a', 'cs_chrl_1a', 'cs_a', 'cs_b', 4718783, 0, 36, 'チャーリー', 'チャーリー', 0, 0, 0, 'ha_chrl_1a', 270481475, 0, 0, 0, 0, 1
'chrl_1b', 0, '1_5', 'gg_chrl_1b', 'cs_chrl_1b', 'cs_a', 'cs_b', 4718783, 0, 65572, 'チャーリー', 'チャーリー', 0, 0, 0, 'ha_chrl_1b', 270481475, 0, 0, 0, 0, 1
'dino_1a', 0, '1_5', 'gg_dino_1a', 'cs_dino_1a', 'cs_a', 'cs_b', 6160559, 0, 21, 'ディーノ', 'ディーノ', 0, 0, 0, 'ha_dino_1a', 270481475, 0, 0, 0, 0, 1
'dino_1b', 0, '1_5', 'gg_dino_1b', 'cs_dino_1b', 'cs_a', 'cs_b', 6160559, 0, 65557, 'ディーノ', 'ディーノ', 0, 0, 0, 'ha_dino_1b', 270481475, 0, 0, 0, 0, 1
'don_1a', 0, '1_5', 'gg_don_1a', 'cs_don_1a', 'cs_a', 'cs_b', 3997784, 0, 37, 'ドンモミー', 'ドンモミー', 0, 0, 0, 'ha_don_1a', 270481475, 0, 0, 0, 0, 1
'don_1b', 0, '1_5', 'gg_don_1b', 'cs_don_1b', 'cs_a', 'cs_b', 3997784, 0, 65573, 'ドンモミー', 'ドンモミー', 0, 0, 0, 'ha_don_1b', 270481475, 0, 0, 0, 0, 1
'jam_1a', 1024, '1_5', 'gg_jam_1a', 'cs_jam_1a', 'cs_a', 'cs_b', 11534424, 0, 38, 'ジャムオジサン', 'ジャムおじさん', 0, 0, 0, 'ha_jam_1a', 270481475, 0, 0, 0, 0, 1
'jam_1b', 1024, '1_5', 'gg_jam_1b', 'cs_jam_1b', 'cs_a', 'cs_b', 11534424, 0, 65574, 'ジャムオジサン', 'ジャムおじさん', 0, 0, 0, 'ha_jam_1b', 270481475, 0, 0, 0, 0, 1
